08/25/10	450	457.81	450	454.62	2580573
08/24/10	457.7	457.7	450.92	451.39	2763814
08/23/10	461.5	468.25	457.73	464.07	2989159
08/20/10	467.97	471.59	462.18	462.02	3923319
08/19/10	481.01	482.51	467.25	467.97	3925513
08/18/10	490.44	490.44	481.55	482.15	2686374
08/17/10	488.53	494.7	486.1	490.52	1890646
08/16/10	483.68	489.87	483.68	485.59	1306685
08/13/10	489	491.19	486.01	486.35	1940047
08/12/10	483.94	494.75	483.94	492.01	2205032
08/11/10	497.73	498	491.5	491.74	2226003
08/10/10	502.35	506	498.57	503.71	2075569
08/09/10	502.25	505.5	501.36	505.35	1873209
08/06/10	505.4	505.74	496.05	500.22	3321695
08/05/10	505.89	508.6	503.56	508.1	2426460
08/04/10	492.18	507	491.05	506.32	3814120
08/03/10	490.5	492.46	486.76	489.83	1800982
08/02/10	488.99	493.28	486.94	490.41	1867475
07/30/10	479.65	487.36	479.14	484.85	2144492
07/29/10	485.95	488.88	479.33	484.99	2675420
07/28/10	494.94	495.25	482.67	484.35	2502447
07/27/10	490.58	497.5	490.17	492.63	2451984
07/26/10	489.09	490.75	484.88	488.97	1996691
07/23/10	480.77	490.59	480.01	490.06	2267180
07/22/10	483.23	488.98	482.48	484.81	2148487
07/21/10	484	485.7	475.43	477.5	3285364
07/20/10	461.03	482.99	460.6	481.59	4056832
07/19/10	461.01	469.65	457.52	466.18	4549465
07/16/10	469.12	470.56	459.52	459.6	7824721
